titulo;director;productor;a�o;idioma;pais;formato;minutos;premier_mundial;compania_productora;premios;web_entradas;sinopsis_es;reparto;tipo
El leotardo de Corina;Iván de Lara y Victoria Apolinario;Kathy Frank;2014;El leotardo de Corina;Argentina;DCP;19 min;si;Universidad del Cine ;"";"";"";"";Cortometraje
Kaboul Song;Lisbeth Koutchoutmoff et Wolgrand Ribeiro;David Rihs;2014;French;Argentina;DCP;52 min;no;Point Prod;"";"";"";"";Cortometraje
Condena Latente;Carla G. Ortiz;Carla Ortiz;2014;Español;Argentina;HD;9: min;si;Carla Ortiz;ninguno;"";"";"";Cortometraje
El compañero nuevo;Martín Mainoli;Alejandro Gallo Bermúdez;2014;español;Argentina;ProRes LT;15 min;si;tu imagen me persigue;"";"";"";"";Cortometraje
LA TIERRA SIN MAL -IVIMARAEY-;DIEGO FERNANDEZ;DIEGO FERNANDEZ;2014;ESPAÑOL;Argentina;FULL-HD ;20 min;si;LOAKAL FILMS;NINGUNO;"";"";"";Cortometraje
Cuchipanderos;Agostina Guala;Daniela Martínez Nannini, Martín Froilán Lapissonde;2014;Español;Argentina;DCP;20 min;no;Macaco Films;"";"";"";"";Cortometraje
La curva te lleva derecho;Martin Loewenthal;Martin Loewenthal;2014;Español;Argentina;DCP;16 min;si;Martin Loewenthal;"";"";"";"";Cortometraje
Fuego;Pencha (Pablo Penchansky);Pencha (Pablo Penchansky);2015;Castellano (sin diálogos);Argentina;ProRes LT;12 min;si;Pencha;"";"";"";"";Cortometraje
Apariciones;Maria Luz Olivares Capelle;Stephan Podest;2014;Spanish;Argentina;DCP ;23 min;no;-;"";"";"";"";Cortometraje
mood;mahmoud yossry;mahmoud yossry;2014;arabic;Egipto;hdcam;22 min;no;seenfilms;"";"";"";"";Cortometraje
Summertime;Manoel Hayne;Nicolás Schujman y Lisandro Eymann;2014;Español;Argentina;ProRes LT;11 min;si;Universidad del Cine;"";"";"";"";Cortometraje
Amador & Caridad;Vlamyr Vizcaya;Mauricio Aristizabal & Vlamyr Vizcaya;2015;Español;Colombia;DCP;9: min;si;El Tuerto Pictures;"";"";"";"";Cortometraje
Fútbol Para Todas;Peter Scheffer;Remi Lehmann;2014;Castellano;Argentina;H264 y ProRes;00 min;si;Studio Baires;-;"";"";"";Cortometraje
Amor, Historias, Tres;Franco Dupuy;Camila Sandoval Riffo / FUC (Universidad del Cine);2014;Español;Argentina;DCP (24 fps);13 min;si;Franco Dupuy / Universidad del Cine;-;"";"";"";Cortometraje
Noche noche buen día;Rafael Magaña;Iván Moscovich;2015;Español;Argentina;Archivos digitales ProRes LT ;9  min;si;Universidad del Cine;"";"";"";"";Cortometraje
Il fiume dell\orco;Tommaso Donati;Tommaso Donati;2014;no dialogue;Italia;DCP , ProRes LT file, H264 file;9m min;no;Associazione Culturale Immagina;"";"";"";"";Cortometraje
Lorenzo, la puta y la muerte;Joaquín Perez Echegaray;Yamila Volpe;2013;Español;Argentina;ProRes LT;11 min;si;Universidad del Cine;"";"";"";"";Cortometraje
Enfrentar animales salvajes;Jerónimo Quevedo;Jerònimo Quevedo ;2014;castellano;Argentina;ProRes LT;8  min;no;Un puma;Primero premio en VIDEOMEDEJA, Serbia.;"";"";"";Cortometraje
Lejanía;Belén Paladino;Belén Paladino;2014;Castellano;Argentina;archivos digitales ProRest LT;9  min;si;Lejanía;ninguno;"";"";"";Cortometraje
Jueves;Belén Leuci;Maya Martínez;2014;Castellano;Argentina;DCP;16 min;si;Fundación Universidad del Cine;"";"";"";"";Cortometraje
MARCHAR La manifestación del interior;Verónica Eseberri;Verónica Eseberri;2014;español;Argentina;DCP;14 min;no;Verónica Eseberri;No;"";"";"";Cortometraje
El Matrero;Alberto M. Sorianello;Alberto M. Sorianello;2014;Español;Argentina;ProRes LT;40 min;si;Compagnet Cinematográfica Argentina;"";"";"";"";Cortometraje
Hora Azul;Rafael Schorr;Rafael Schorr y Perla Perren;2014;español;Argentina;archivos digitales ;12 min;no;- independiente - ;mencion especial;"";"";"";Cortometraje
Superfluo;Javier Kaplan;Ariel Honigman;2014;Español;Argentina;ProRes LT;13 min;si;Wollen Films;"";"";"";"";Cortometraje
"\""Final\""";Santiago Vaquero;Universidad del Cine (FUC)-VUK Films;2014;Español;Argentina;Archivo Digital ProRes LT;17 min;si;VUK Films;Ninguno ;"";"";"";Cortometraje
Peces muertos;Sergio Buceta;Mailen Ramirez;2014;Español;Argentina;Archivos digitales;10 min;si;Heroica Cine;no obtuvo aun;"";"";"";Cortometraje
OTRO-LADO;AGUSTIN-LAGOS;CARLOS-GARCIA-ROMERO;2014;CASTELLANO;Argentina;HDCAM;23 min;si;COSTA-POBRE-PRODUCCIONES;NINGUNO;"";"";"";Cortometraje
Varados;Ignacio Etchebarne;Ignacio Etchebarne / Federico Lopez Hilaire;2014;Español;Argentina;Archivo digital ProRes;11 min;si;Rolon Valley;"";"";"";"";Cortometraje
Dame el Do;Martín Méndez;Martín Méndez y Federico Scheuer;2014;Castellano;Argentina;BETACAM DIGITAL;20 min;si;Independientes;"";"";"";"";Cortometraje
La Gaviota;Esteban Perroud;Lucia Tebaldi;2014;Español;Argentina;DCP, Blu Ray.;15 min;no;Subterranea Films;"";"";"";"";Cortometraje
Reconciliação;Álvaro Andrade;Álvaro Andrade;2015;Portugués, español, inglés;Argentina;Apple ProRes LT;25 min;si;Quase Besta Filmes;Película inédita;"";"";"";Cortometraje
El último suspiro;Facundo Forti;Antonella Del Mestre;2014;Castellano;Argentina;ProRes;07 min;no;Melva Producciones;1er premio voto del público del 1er Festival Juvenil Latinoamericano de Temática Ambiental Morón;"";"";"";Cortometraje
Chapa Pistola;Sebastian Loran;Sebastian Loran;2014;Castellano;Argentina;HDCAM;00 min;si;Ninguna;"";"";"";"";Cortometraje
DeejaysXgeneration;Emiliano Ravenna;Latina Movie Company;2014;español;Argentina;HDCAM;13 min;no;Latina Movie Company;"";"";"";"";Cortometraje
Momentos;Catalina Monti y Juan Carlos Solares;Oscar Alfonso ;2014;Español;Cuba;archivo digital;6: min;no;Escuela Internacional de San Antonio de los Baños;"";"";"";"";Cortometraje
Horizonte de Eventos;Ariel Urtubey;Pablo D´Amato;2014;español;Argentina;ProRes LT;7: min;si;D´Amato;"";"";"";"";Cortometraje
El paseo del Pollo Teriyaki;Bianca Poloni - Brenda Dispagna;Bianca Poloni - Brenda Dispagna;2014;Español;Argentina;HDCAM;9  min;si;DiPo Producciones Audiovisuales;"Primer premio en \""Concurso intercolegial de Cortometrajes CNAI 2014\""";"";"";"";Cortometraje
ánima;Clara Frías;Clara Frías;2015;castellano;Argentina;video digital;6m min;si;la no forma.zine;no aún;"";"";"";Cortometraje
Positivo;Marcela Torres;Matías Torres;2014;español;Argentina;digital;02 min;si;Rigelmoon;"";"";"";"";Cortometraje
Siga a ese Auto;Sebastian Zanni;Sebastian Zanni;2014;Castellano;Argentina;H.264;11 min;no;Vision Ferpecta;Ninguno;"";"";"";Cortometraje
Presente imperfecto;Iair Said;Laura Huberman, Iair Said;2015;Español;Argentina;Archivo Digital;15 min;si;saidiair@gmail.com;"";"";"";"";Cortometraje
AMNESIA;MARIANO ZOZAYA;VERONICA BERNARDEZ;2014;ESPAÑOL;Argentina;ProRes LT;14 min;si;Independiente;-;"";"";"";Cortometraje
J I;Francisca Somigliana;Francisca Somigliana;2014;Español;Argentina;archivos digitales Full hd ProRes LT;20 min;si;-;-;"";"";"";Cortometraje
El corral;Gisela Corsello;Mariana Aramburu;2014;Español;Argentina;Archivos digitales ProRes;13 min;no;Rodante FIlma;no;"";"";"";Cortometraje
ZEITNOT;ERNESTO ROWE;NÁUFRAGO FILMS;2015;CASTELLANO;Argentina;Archivos digitales ProRes;15 min;si;NAUFRAGO FILMS;"";"";"";"";Cortometraje
Túneles;Axel rosito;Federico Pozzi;2014;Castellano;Argentina;ProRes LT;10 min;si;algoquesemueve;-;"";"";"";Cortometraje
Visita;Cesar Conde;Cesar Conde;2014;Castellano;Argentina;HDCAM;13 min;si;Grupo Tres;-;"";"";"";Cortometraje
Physis;Julieta Javkin;Julieta Javkin;2013;Español;Argentina;HDCAM;6m min;si;Julieta Javkin;"";"";"";"";Cortometraje
Lona y Viruta;Raquel Ruiz;Oscar Aguerre;2014;español;Argentina;ProRes LT;20 min;si;talismanfilms;Mención Especial 2014 - VI Festival Pilas en Corto (Sevilla-España) Seleccion Oficial 2014- FESTIVAL LATINOAMERICANO DE CORTOS LAPACHO - ARGENTINA Seleccion Oficial 2014 - KO&DIGITAL FESTIVAL INTERNACIONAL DE CINE SOLIDARIO - BARCELONA ESPAÑA Seleccion Of;"";"";"";Cortometraje
SI NO SE PUEDE BAILAR, ESTA NO ES MI REVOLUCIÓN;Lillah Halla;Clemilson Farias;2014;español;Cuba;DCP, BLURAY, APPLE PRO RES;16 min;no;EICTV-Cuba;Mejor Dirección (Semana dos Realizadores, Rio de Janeiro, 2014), Mejor Película para Reflexión ( Janela Internacional do Cinema de Recife 2014, Premio FEPEC), Mejor Película Experimental (Festival des Films de Monde, Montreal, 2014);"";"";"";Cortometraje
Plankton;Agustín Adba;Ariel werthein y Agustin Iacona;2014;Español;Argentina;Archivo ;12 min;si;Piramide Selva;"";"";"";"";Cortometraje
Calle Sin perro;Jernonimo Quevedo, Agustin Adba y Gaston Yvorra ;Agustín Adba;2014;Español;Argentina;Archivo Digital ProRes LT;12 min;si;Piramide Selva;"";"";"";"";Cortometraje
El Poder de la Belleza;Sebastian Zanni;Sebastian Zanni;Noviembre 2014;Castellano;Argentina;H.264;12 min;si;Vision Ferpecta;"";"";"";"";Cortometraje
Martien (Marciano);Francisco Moser;Francisco Moser/ Hogeschool Sint-Lukas Brussel;2014;Frances;Bélgica;archivos digitales ;20 min;si;Francisco Moser/ Hogeschool Sint-Lukas Brussel;apadrinado por Fien Troch (cieneasta belga);"";"";"";Cortometraje
Soledad;Pablo Kaes;Pablo Kaes;2014;Espanol;Argentina;DCP;14 min;si;Kaes/Rohrscheidt Film;-;"";"";"";Cortometraje
Falcon;Rafael Perez Boero;Leandro Tosolini-Daniela Merino Moyano-Juan Pablo Gutiérrez;2014;Español;Argentina;Prores Full HD;40 min;no;Niñoraro audiovisuales;Mejor cortometraje de Escuela de Cine FICIC(Festival de Cine Independiente de Cosquin-programador Roger Koza) Mención especial en FLVR Rosario. Ambos de 2014.;"";"";"";Cortometraje
Tierra Argentina;Pablo Kaes;Cathrin Göbel;2014;Espanol;Argentina;DCP;7  min;si;Kaes Filme;-;"";"";"";Cortometraje
Cuaderno de ramos generales;Mariano Marcucci;Mariano Marcucci;2014;Español;Argentina;Archivos digitales ProRes LT ;06 min;si;Mariano Marcucci;"";"";"";"";Cortometraje
La Hora del Lobo;Natalia Ferreyra;Ana Lucía Frau / Natalia Ferreyra;2014;Español;Argentina;HDCAM;30 min;si;Ideas por Rosca;Ninguno;"";"";"";Cortometraje
Rueda Cronológica;Julián Mizrahi;Julián Mizrahi;2014;Español;Argentina;HDCAM;10 min;si;Buenas Notas Producciones;"";"";"";"";Cortometraje
Una Pequeña Gran Aventura;Leonel Mesegue -  Mariela Piqué;Javier Schonholz;Noviembre 2014;Castellano;Argentina;UPGA 1080p 25 fps H264.mov;4, min;si;TALLER CINE 21;NO;"";"";"";Cortometraje
LOS HIJOS DE LAS ESTRELLAS;AGUSTIN COSSA;AGUSTIN COSSA / JOSHUA OGLIO / NICOLAS DALLI BORTOLOT;2014;Español Argentina;Argentina;Archivos Digitales ProRes LT;31 min;si;UNIVERSIDAD DEL CINE / WAFBA MEDIA / REAL RENDERS;Ninguno;"";"";"";Cortometraje
Colores;Julian Cortizo;Julian Cortizo;2014;Español;Argentina;Archivos Digitales;04 min;no;Nailuj Producciones;"2011 - 2do Premio \""Alberto Fischerman\"", Fondo Nacional de las Artes. 1er Premio Productores Independientes, \""Hacelo Corto\""";"";"";"";Cortometraje
Juan;Julian Cortizo;Julian Cortizo;2014;Español;Argentina;Archivos Digitales;02 min;no;Nailuj Producciones;-;"";"";"";Cortometraje
ROMANZA;Benjamin Felice;Benjamin Felice;2014;castellano;Argentina;mp4;4: min;si;myown;"";"";"";"";Cortometraje
Tunel;Gonzalo Bazillo;Kevin Perelman;2014;Castellano;Argentina;ProRes HQ;7. min;si;Kevin Perelman;Fondo Nacional de las Artes, Concurso de Escuelas de Cine.;"";"";"";Cortometraje
La intención de cortar, cerrar, limpiar;Carlos Rentería;Victoria Sanchez-Negrette;2014;Sin diálogos;Argentina;DCP;15 min;no;N.A.;"";"";"";"";Cortometraje
Fuera de sincro;Francisco Funes Peralta;Cristopher Adinolfi;2014;Español ;Argentina;Archivo digital ProRes LT;20 min;si;Materia Prima;Ninguno;"";"";"";Cortometraje
Julieta Se Queda Dormida;Dante De Luca;Alexan Sarikamichian;2014;Expañol;Argentina;35mm;10 min;si;Universidad del Cine (FUC);Todavía no fue presentado a ningún festival.;"";"";"";Cortometraje
Otra Vez Soñé Navidad;Federico Leonel Loguancio;Federico Leonel Loguancio;2014;Español;Argentina;Archivo digital ProRes;21 min;si;Universidad del cine;Ninguno;"";"";"";Cortometraje
El Infierno de Beatriz;Marcos Migliavacca - Nahuel Lahora;Marcos Migliavacca - Nahuel Lahora - Coca Kreiter - Cecilia Guerrero - Paola Bountempo;2015;español - Italiano;Argentina;Archivos digitales ProRes LT;17 min;si;FestiFreak Produce;-;"";"";"";Cortometraje
Pears;Karen Sztajnberg;Andeep Singh;2014;Ingles;Estados Unidos;DCP;17 min;si;Knot Films;"";"";"";"";Cortometraje
Punching Underground;Peter Scheffer;Studio Baires;2014;Castellano;Argentina;ProRes;00 min;si;Studio Baires;-;"";"";"";Cortometraje
China, I love you;Liu Beilin;Liu Beilin;2014;Chinese and English;China;ProRes422;40 min;no;no;no;"";"";"";Cortometraje
El ser magnético;Mateo Bendesky;Flor Clérico;2015;Castellano;Argentina;DCP, ProRes LT;17 min;si;Sandwich Club;--;"";"";"";Cortometraje
Ausencia;Federico Alvarado;Florencia Roman;2014;Español;Argentina;Archivos digitales ProRes LT;14 min;no;Tarantoga/Deshoras;"";"";"";"";Cortometraje
VERA;RUBEN PLATANEO;RUBEN PLATANEO;2014;CASTELLANO;Argentina;ARCHIVO DIGITAL ;23 min;si;CALANDA PRODUCCIONES;"";"";"";"";Cortometraje
Invierno;Nicolás Okseniuk;Nicolás Okseniuk;2014;Español;Argentina;A convenir;12 min;si;-;-;"";"";"";Cortometraje
Erase una vez;Patricio Vega;Mel Robles;2014;Castellano;Argentina;DCP;9  min;si;Laboratorio de guión;No tuvo;"";"";"";Cortometraje
Julieta Se Queda Dormida;Dante De Luca;Alexan Sarikamichian;2014;Español;Argentina;35mm;10 min;si;Universidad Del Cine;no ganó ningún premio. (no fue presentado a ningún lado tampoco);"";"";"";Cortometraje
PENDIENTES ;Juan Manuel Ribelli;Juan Manuel Ribelli;2014;Castellano - Español;Argentina;HD CAM;9  min;si;Juan Manuel Ribelli;"";"";"";"";Cortometraje
GRAFSTRACT: The Bronx Street Art Renaissance;Dan Perez;Dan Perez, J. Beltran;2014;English;Estados Unidos;DCP;20 min;si;Dan\s Video Creations, Inc.;N/A;"";"";"";Cortometraje
Cuando sea grande quiero ser mar del plata;Tobías Tercic;Tobías Tercic;2013;Castellano;Argentina;HDCAM;6 min;si;La unidad Peluda;"";"";"";"";Cortometraje
La herencia de la carne;David Nazareno Bastit;Franco Betti;2014;Español;Argentina;ProRes LT;12 min;si;Sed Non Satiata;No;"";"";"";Cortometraje
Un monólogo silencioso;Léa Corbex, Cielo Lavergne, Matías Sandoval.;Léa Corbex, Cielo Lavergne, Matías Sandoval.;2014;Español;Argentina;Archivo digital;8  min;si;Cielo Lavergne;(Ninguno por el momento :) ) ;"";"";"";Cortometraje
La Adolescente detrás de la Caperuza Roja;Mauro Vekselman;Mauro Vekselman;2014;Castellano;Argentina;ProRes LT;21 min;si;Alvy Films;"";"";"";"";Cortometraje
I ♥ YOU COÑAZO;Tomás Sposato;Tomás Sposato;2014;Castellano.;Argentina;ProRes;4  min;si;-;"";"";"";"";Cortometraje
Relatos de fútbol;Tadeo Nicolás Suárez;Marcos Pretti, Lucas Molina, Marly Heredia;2014;español;Cuba;DCP (24fps), archivos difitales ProRes LT;14 min;si;La mula cine;"";"";"";"";Cortometraje
Relatos de fútbol;Tadeo Nicolás Suárez;Marcos Pretti, Lucas Molina, Marly Heredia;2014;español;Cuba;DCP (24fps), archivos digitales ProRes LT;14 min;si;La mula cine;"";"";"";"";Cortometraje
A 1,232 Cabezas;Victoria Apolinario;Candela Regalado;2015;Español;Argentina;DCP;15 min;si;Universidad del Cine;n/a;"";"";"";Cortometraje
El Novelista;Eduardo Maclen;Gabriel Cominotti;2014;Español;Argentina;Archivo digital HD;14 min;no;Sinapsis Produce;1er Premio Festival de Cine Fantástico y Terror Mil Gritos;"";"";"";Cortometraje
#YA;YGOR GAMA - FLORENCIA ROVLICH;FRANCISCA SAEZ AGURTO / SOFIA QUIRÓS;2014;ESPAÑOL / INGLES / PORTUGUÉS;Argentina;PRO RES 422;15 min;no;MIGRACINE;- ;"";"";"";Cortometraje
Sonambulismo;Lorena Ferrari;Universidad del cine ;2013;Español;Argentina;Archivo digitales ProResLT;16 min;si;Universidad del cine;"";"";"";"";Cortometraje
El desconocido;Sofía Rovaletti;Octavio Aprile Rinaldo;2014;Español;Argentina;HDCAM;13 min;si;Escuela Eliseo Subiela;"";"";"";"";Cortometraje
Puente;Cesar Aparicio;Luciano Hernández;2014;Español;Argentina;HD;07 min;no;Blackmaria;Sin premios.;"";"";"";Cortometraje
VIDEO SOCIAL CLUB;PABLO FERNANDEZ;JUAN IASTREBNER;2015;ESPAÑOL;Argentina;DCP - PRO RES - DVD;9  min;si;NAIZ FILMS - UNIVERSIDAD DEL CINE;-;"";"";"";Cortometraje
Los Payasos;Lucas Bucci;María Conte;2014;Español;Argentina;DCP;15 min;si;Lucas Bucci;"";"";"";"";Cortometraje
Alicia;Sebastián Romero;Sebastián Romero;2014;Español;Argentina;Bluray;20 min;si;Universidad del Cine - Perla Films;"";"";"";"";Cortometraje
RockZtar;Bruno Gradaschi;Sebastian Martinez Toro;2014;Castellano;Argentina;Digital h264;12 min;no;Alobotomia;Mención a la Originalidad (XV Festival Buenos Aires Rojo Sangre)  / Mención Especial por su Desafio Artistico en el genero de Comedia (11° TAFIC);"";"";"";Cortometraje
El espacio entre las dos;Alejandro Gallo Bermudez;Alejandro Gallo Bermúdez;2015;Español;Argentina;ProRes LT;10 min;si;Alejandro Gallo Bermúdez;Ninguno aún;"";"";"";Cortometraje
Reflejo de cemento;Francisco Sculli;Maria Clara Sosa;2014;Español;Argentina;1920x1080p Apple ProRes 422 LT;2m min;si;Ninguna;Ninguno;"";"";"";Cortometraje
La breve mañana de Ana y Martin;Lucia L. Mendoza;Lucia Mendoza- Pablo Fernandez- Juan Iastrebner;2014;Español;Argentina;Digital;15 min;si;Unicornio Cine;-;"";"";"";Cortometraje
Unnatural History;Alex Backhouse;Alex Backhouse and Melissa Dodds;2014;English;Nueva Zelanda;DCP (24 fps) / HD CAM SR / Quicktime ProRes;16 min;no;Night After Night;"";"";"";"";Cortometraje
La Conciencia de la Piel;Miguel Vazquez;Mateo Rodriguez Egaña;2014;Español;Argentina;ProRes LT;18 min;si;CODA FILMS;-;"";"";"";Cortometraje
Vestido azul a cuadros;José Luis Ressia;Maria Victoria Andrada;2014;Español;Argentina;DCP;9: min;si;Pianobar Media;"";"";"";"";Cortometraje
Cuba es una isla;María Celeste Contratti;María Celeste Contratti;2014;Español;Argentina;ProRes LT;24 min;si;María Celeste Contratti;"";"";"";"";Cortometraje
The Mad Half Hour;Leonardo Brzezicki;Filip Gsella;2015;Castellano;Argentina;DCP;22 min;no;Rewind My Future;"";"";"";"";Cortometraje
CIMARRÓN;CHIARA GHIO;INCAA - SIMONE BOSSHART;2014;ESPAÑOL;Argentina;DCP;14 min;si;INCAA;-;"";"";"";Cortometraje
Los Patos Salvajes;Nicolás Quiroga;Universidad del Cine;2015;Español;Argentina;ProRes;19 min;si;Nicolás Quiroga;-;"";"";"";Cortometraje
Max y Eloísa ;Olivier Ubertalli;Olivier Ubertalli;2014;Castellano;Argentina;Archivo Digital HDV;6m min;si;Olivier Ubertalli;"";"";"";"";Cortometraje
Amanece;Hernan Simone;Karina Simone;2014;Español;Argentina;digital mov, dvd o bluray;20 min;no;DKS Producciones;"";"";"";"";Cortometraje
Pura;David Nazareno Bastit;Franco Betti;2014;Español;Argentina;archivos digitales ProRes LT, HDCAM;07 min;si;Sed Non Satiata;No;"";"";"";Cortometraje
Abril;Sebastián Amorós;Yesica López;2014;español;Argentina;ProRes LT;00 min;si;Independiente;"";"";"";"";Cortometraje
HUESITOS DE POLLO;Juan Manuel Ribelli;Juan Manuel Ribelli;2014;Castellano - Español;Argentina;HD CAM;10 min;si;Juan Manuel Ribelli;"";"";"";"";Cortometraje
LA CONVERSACÒN;Ramiro Bailiarini;Ramiro Bailiarini;2014;Español;Argentina;Archivos digitales en ProRes LT;7: min;si;Ramiro Bailiarini;"";"";"";"";Cortometraje
SENTIMENTAL;SANDRA FLOMENBAUM;VALERIA PEREZ DELGADO;2014;ESPANOL;Argentina;ARCHIVOS DIGITALES PRO RESS;8. min;si;ENELTENDER;"";"";"";"";Cortometraje
DIAMANTE MANDARIN;JUAN MARTIN HSU;GERMÁN GARRIDO;2015;CHINO MANDARIN ;Argentina;DCP ;16 min;si;ZEBRA FILMS, PUENTE FILMS Y MEAHOGO CINE;"";"";"";"";Cortometraje
El Raton Disney conoce el mundo del Stop Motion;Ayar Blasco;Pablo Grato;2014;Espanol;Argentina;Digital;3  min;si;chimiboga;"";"";"";"";Cortometraje
All the king\s horses;Dominik Pagacz;Dominik Pagacz/Segment 3;2014;English;Canadá;Full HD h264, Blu-ray;02 min;no;Segment 3;"";"";"";"";Cortometraje
Quand il vous regarde;Dominik Pagacz;Dominik Pagacz/Segment 3;2014;French;Canadá;Full HD h264, Blu-ray;02 min;no;Segment 3;"";"";"";"";Cortometraje
Mercitronc!;Dominik Pagacz;Dominik Pagacz/Segment 3;2014;French;Canadá;Full HD h264, Blu-ray;02 min;no;Segment 3;"";"";"";"";Cortometraje
Marie, ensayo barroco sobre el dolor.;David Paz;Sandra Romero;2014;Latín;Argentina;HD 1920x1080;19 min;si;Oso de Agua Producciones;Ninguno;"";"";"";Cortometraje
Sir, replies Monsieur;Dominik Pagacz;Dominik Pagacz/Segment 3;2013;English;Canadá;Full HD h264, Blu-ray;02 min;no;Segment 3;"";"";"";"";Cortometraje
El ícono;Mariano Melamed;Felipe Restrepo;2014;Castellano;Argentina;HD ;2  min;si;malcriados audiovisuales;Ninguno;"";"";"";Cortometraje
La Moza y el Cocinero;Kathrin Frank;Alexan Sarikamichian, Universidad de Cine, Frei Films;2015;Español;Argentina;Digital ProRes LT o HQ, DCP (eventualmente);13 min;si;Alexan Sarikamichian;"";"";"";"";Cortometraje
Vladi;Jesica Bauer;Catalina Beliera;2014;Castellano;Argentina;Digital- Full HD (1920X1080);14 min;si;Hijos de Apu;"";"";"";"";Cortometraje
La Mejor Defensa;Luciano Olivera/Pablo Cabello/Rafael Veljanovich;DeporTV/ZOOMIN;2014;Español;Argentina;HDCAM;10 min;si;ZOOMIN S.A;"";"";"";"";Cortometraje
esta noche;Diego Gavarrete;Diego Gavarrete / Pilar Diamante;2014;Español;Argentina;Archivos digitales;12 min;si;Lobo Estás;"";"";"";"";Cortometraje
Soy Luci;Matías Kaless;Matías Kaless;2015;español;Argentina;archivo digital;13 min;si;Matías Kaless;"";"";"";"";Cortometraje
